Transect,Species,Year,Density Estimate,se,cv,lcl,ucl,df
South Side,ATFL,2016,0.249171219,0.102967583,0.413240272,0.077165701,0.808738204,3.674228793
South Side,ATFL,2013,0.266969163,0.039564247,0.165029792,0.19671384,0.384336682,34.87921077
South Side,ATFL,2014,0.321846157,0.097335895,0.307724747,0.148259079,0.698753821,4.914521243
South Side,ATFL,2015,0.222474302,0.092100912,0.431627286,0.024674669,10.46642094,3.640105673
South Side,ATFL,2018,0.280317621,0.04212474,0.161054671,0.200598427,0.421191901,33.77044448
South Side,ATFL,2010,0.311464023,0.128709478,0.413240272,0.091002304,1.06601518,3.149356258
South Side,ATFL,2011,0.177979442,0.063949095,0.359306076,0.076842984,0.412226076,6.399483934
South Side,ATFL,2012,0.467196034,0.094758935,0.202824784,0.26267723,0.830951866,3.698958065
South Side,ATFL,2019,0.355958883,0.108344039,0.304372342,0.174418936,0.726450519,6.567315683
South Side,ATFL,2020,0.133484581,0.063503187,0.475734252,0.044624884,0.399286939,6.223287649
Channel,ATFL,2012,0.293802927,0.070770273,0.235237567,0.164364249,0.559995758,6.418139574
Channel,ATFL,2016,0.443968867,0.089976165,0.205544937,0.27198525,0.736165039,5.726139023
Channel,ATFL,2010,0.313389788,0.090081114,0.287441127,0.156622341,0.628261488,5.820145791
Channel,ATFL,2013,0.274216065,0.075516142,0.327701597,0.132528437,0.595174196,4.233844617
Channel,ATFL,2014,0.376067746,0.110266199,0.315573413,0.18890754,0.821288202,4.867171673
Channel,ATFL,2015,0.313389788,0.03804062,0.121384362,0.242857479,0.417028101,67.96182658
Channel,ATFL,2018,0.313389789,0.083128029,0.270600896,0.167952096,0.589231451,6.418988487
Channel,ATFL,2019,0.587605853,0.202257665,0.344206348,0.267977116,1.288470613,7.278188047
Channel,ATFL,2020,0.73124284,0.136686862,0.186924035,0.462167376,1.15697498,5.723998865
Channel,ATFL,2011,0.430910959,0.119314645,0.276889326,0.228329447,0.813229556,7.436800929
Channel ,BEWR,2012,0.443620083,0.087346151,0.258546275,0.283884502,0.753074072,5.396674691
Channel ,BEWR,2016,0.545072972,0.084597364,0.153401678,0.378620472,0.786275485,7.16248222
Channel ,BEWR,2010,0.327673925,0.086912136,0.284632909,0.209710059,0.705031743,77.52214707
Channel ,BEWR,2013,0.330824636,0.091240517,0.31238242,0.161019701,0.696796167,5.122261564
Channel ,BEWR,2014,0.539401692,0.083190264,0.156983918,0.366919744,0.795357906,5.485088071
Channel ,BEWR,2015,0.569018374,0.077787832,0.136857645,0.405155545,0.803643685,6.291350666
Channel ,BEWR,2018,0.507264442,0.094112444,0.183507024,0.325632883,0.803754926,6.532862663
Channel ,BEWR,2011,0.352879612,0.095006704,0.269232626,0.189473891,0.65720939,7.208756969
Channel ,BEWR,2019,0.61753932,0.112398274,0.182009907,0.405140186,0.941291004,7.468937529
Channel ,BEWR,2020,0.764572492,0.23213546,0.303614716,0.358238213,1.631794361,5.116715594
South Side,BEWR,2012,0.102601525,0.105289843,1.02620154,0.013515917,0.778864881,6.652307172
South Side,BEWR,2016,0.897763346,0.230566024,0.252420901,0.540563984,1.493930736,53.63691206
South Side,BEWR,2010,0.718210676,0.207013451,0.288234995,0.403703188,1.299661793,41.20259892
South Side,BEWR,2013,0.574568541,0.234721435,0.467886369,0.270170493,1.668096471,36.00421053
South Side,BEWR,2014,0.461706863,0.192858215,0.513307278,0.156675462,1.408234928,5.479414097
South Side,BEWR,2015,0.448881673,0.293393881,0.715709205,0.119464718,2.999172204,4.906006111
South Side,BEWR,2011,0.615609151,0.282441189,0.458799529,0.234259152,1.617758044,10.6216261
South Side,BEWR,2018,0.778061566,0.2929162,0.387414523,0.335161354,1.815092384,8.126732445
South Side,BEWR,2019,0.923413727,0.295596715,0.320112974,0.484242199,1.76088105,23.41216628
South Side,BEWR,2020,0.820812202,0.308903888,0.376339298,0.377655439,1.783987734,14.87346084
Channel,COYE,2012,1.420720937,0.188962507,0.134333971,1.061817189,1.902538067,11.01949539
Channel,COYE,2016,1.333899102,0.258086311,0.205882462,0.844609711,2.160967782,7.051940687
Channel,COYE,2010,1.854830112,0.180467173,0.097157613,1.512346247,2.27488386,17.82538372
Channel,COYE,2013,1.170779291,0.230925592,0.197570378,0.738748013,1.869973166,7.455379703
Channel,COYE,2014,1.397042255,0.236053799,0.17716257,0.936889589,2.089240127,7.023595583
Channel,COYE,2015,1.183934114,0.199195976,0.168249207,0.812041404,1.726143494,9.144154487
Channel,COYE,2011,2.604655051,0.464111306,0.178185325,1.744469963,3.888990971,8.867632508
Channel,COYE,2018,0.924596165,0.158174148,0.170654074,0.627929082,1.363308458,8.479903177
Channel,COYE,2019,2.052152465,0.311143044,0.151617899,1.465137427,2.874358174,9.778940946
Channel,COYE,2020,2.841441874,0.413550123,0.145542348,2.058761352,3.921674513,10.08859041
South Side,COYE,2012,4.783946446,1.313912707,0.27294534,2.748352745,8.557830877,62.09133341
South Side,COYE,2016,3.325426188,0.890077245,0.273038107,1.918464081,5.780411412,18.62300227
South Side,COYE,2010,5.367354549,1.190241465,0.2217557,3.457052718,8.337549752,55.79405104
South Side,COYE,2013,3.967175101,1.2888299,0.325576733,1.997119847,7.882196541,12.58488273
South Side,COYE,2014,3.267085378,1.358497898,0.415813406,1.315253772,10.23985515,12.74746803
South Side,COYE,2015,4.861734193,1.173974952,0.239474602,2.989754896,7.921091448,33.88139609
South Side,COYE,2011,7.934350203,2.070092547,0.260902594,4.6605319,13.50788161,22.08868068
South Side,COYE,2018,3.694917987,0.774816976,0.21207634,2.443437326,5.589697356,78.1690623
South Side,COYE,2019,5.834081032,1.455304693,0.249448831,3.521952688,9.664099576,26.35392532
South Side,COYE,2020,3.500448619,1.160589684,0.331554555,1.733879124,7.066894321,12.17398053
Channel,HAWO,2012,0.162884092,0.092276059,0.600547994,0.024844259,1.224283215,5.537356345
Channel,HAWO,2016,0.130307274,0.050130431,0.643649489,0.067405017,0.388785881,18.76791005
Channel,HAWO,2010,0.139614936,0.049251984,0.474683702,0.072437749,0.3128403,20.49370618
Channel,HAWO,2013,0.124877804,0.06300875,0.541633515,0.041254834,0.406351277,6.405465753
Channel,HAWO,2014,0.21717879,0.055432569,0.255239331,0.130269343,0.362070045,33
Channel,HAWO,2015,0.122163069,0.068134672,0.765252276,0.013714336,1.095031807,4.882380964
Channel,HAWO,2011,0.054294697,0.038150228,0.702651083,0.013029342,0.226251958,9.244576081
Channel,HAWO,2018,0.124102166,0.070135935,0.765252276,0.013861219,1.115631755,4.316059022
Channel,HAWO,2019,0.108589395,0.064321359,0.592335548,0.032221124,0.365960441,10.44099729
Channel,HAWO,2020,0.130307274,0.093020736,0.713856821,0.025613929,0.662920003,5.244932354
South Side,HAWO,2012,0.221673246,0.055549275,0.396532023,0.143524084,0.433684006,26.76271554
South Side,HAWO,2016,0.241377535,0.066304472,0.380332595,0.146601488,0.548332154,25.69520437
South Side,HAWO,2010,0.270933968,0.119682634,0.462228793,0.039803587,3.282548937,4.052778866
South Side,HAWO,2013,0.172412525,0.080484073,0.466811054,0.057995691,0.512556675,5.930674543
South Side,HAWO,2014,0.34482505,0.046150631,0.133837813,0.263745442,0.450829839,47
South Side,HAWO,2015,0.172412525,0.073902935,0.646243806,0.074315404,0.610684669,5.359936293
South Side,HAWO,2011,0.197042886,0.105881154,0.537350811,0.05949659,0.652573509,6.81610388
South Side,HAWO,2018,0.373560471,0.121555234,0.337943999,0.156814524,0.890947148,4.845596859
South Side,HAWO,2019,0.34482505,0.115991815,0.336378738,0.163155957,0.728777037,8.43115683
South Side,HAWO,2020,0.246303607,0.103890079,0.421796823,0.095608722,0.634518122,7.406792428
Channel,LBVI,2012,0.526246941,0.106291979,0.198058842,0.310668021,0.901344726,4.801127435
Channel,LBVI,2016,0.679735631,0.106280956,0.156513037,0.463350898,0.997741703,7.004554264
Channel,LBVI,2010,0.570100852,0.167102407,0.292674444,0.230546168,1.453649144,3.600793857
Channel,LBVI,2013,0.572293548,0.107175872,0.184819161,0.35730062,0.91850373,5.765085043
Channel,LBVI,2014,0.375890672,0.065087284,0.169571448,0.257217896,0.550397628,11.24253149
Channel,LBVI,2015,0.736745717,0.156408389,0.212416052,0.427139082,1.271209701,4.99329511
Channel,LBVI,2018,0.335482425,0.143254274,0.510311303,0.119377039,1.158229756,3.865795131
Channel,LBVI,2011,0.657808675,0.11437408,0.173871346,0.451944837,0.957444843,12.19385631
Channel,LBVI,2019,0.328904338,0.111994477,0.340507754,0.153190616,0.706166383,7.981672522
Channel,LBVI,2020,0.613954764,0.155945669,0.254001888,0.335833762,1.122401899,6.370667016
South Side,LBVI,2012,0.499218875,0.22004953,0.510392066,0.20889768,1.468488578,11.00200578
South Side,LBVI,2016,0.800549186,0.286196802,0.368389108,0.384476981,1.690168955,15.69105939
South Side,LBVI,2010,0.494721408,0.248768012,0.505780406,0.157018663,1.559307389,6.588403741
South Side,LBVI,2013,0.462596641,0.132646191,0.29612314,0.26332235,0.824600775,66.51473449
South Side,LBVI,2014,0.449746734,0.185491756,0.511424287,0.183884625,1.185165923,6.9011142
South Side,LBVI,2015,0.526203679,0.265381054,0.537617719,0.174891847,1.897971209,6.957250423
South Side,LBVI,2018,0.809544121,0.272926737,0.362070117,0.411545091,1.638414921,23.43344648
South Side,LBVI,2011,0.770994401,0.318689095,0.413348131,0.327862409,1.813054347,13.45239179
South Side,LBVI,2019,1.156491601,0.407554616,0.352406032,0.566520253,2.360856152,20.02946897
South Side,LBVI,2020,1.464889362,0.401356172,0.273983949,0.85657333,2.505215569,69.93117214
Channel,LEGO,2010,0.251802464,0.126121835,0.497843697,0.05567281,1.327830161,4.427546487
Channel,LEGO,2011,0.459813194,0.132758177,0.288721981,0.243680285,0.86764579,9.504495714
Channel,LEGO,2012,0.459813194,0.153264837,0.333319789,0.203005798,1.158979643,6.385913966
Channel,LEGO,2013,0.354439337,0.190359485,0.5928907,0.142598316,5.460565484,9.491405529
Channel,LEGO,2014,0.30654213,0.0742995,0.375525986,0.202311883,0.62389581,34.15118492
Channel,LEGO,2015,0.268224363,0.131362979,0.486076633,0.061352225,1.375264779,3.904053546
Channel,LEGO,2016,0.229906597,0.231274131,1.005948215,9.90E-06,5340.220853,1.024003676
Channel,LEGO,2018,0.315300476,0.098793322,0.321432463,0.151135255,0.662817234,6.426919985
Channel,LEGO,2019,0.459813194,0.132758177,0.288721981,0.243680285,0.86764579,9.504495714
Channel,LEGO,2020,0.459813194,0.211679843,0.460360523,0.143200548,1.476448079,4.490494489
South Side,LEGO,2012,1.007238262,0.407242182,0.405282927,0.429657196,2.382171623,12.75023401
South Side,LEGO,2016,0.812288921,0.350594089,0.659171074,0.384959526,3.153081234,18.74330691
South Side,LEGO,2010,0.433220758,0.449871723,1.038435289,0.017158234,10.93820173,2.324828719
South Side,LEGO,2013,0.433220758,0.449871723,1.038435289,0.017158234,10.93820173,2.324828719
South Side,LEGO,2014,0,0,0,0,0,0
South Side,LEGO,2015,0.812288921,0.511101607,0.612274132,0.195211142,3.67525493,6.860940131
South Side,LEGO,2011,1.485328313,0.536430147,0.361152576,0.724022785,3.047141946,26.89040123
South Side,LEGO,2018,0.758136326,0.294360124,0.659171074,0.385012729,2.028590116,19.90446334
South Side,LEGO,2019,0.556998117,0.305370159,0.548242713,0.179632667,1.727118506,10.74098667
South Side,LEGO,2020,0,0,0,0,0,0
Channel,PSFL,2012,0.092062872,0.094085901,1.021974425,0.012883234,0.65787614,7.632226458
Channel,PSFL,2016,0.211744606,0.129731624,0.70818181,0.06158985,1.068143973,5.07276564
Channel,PSFL,2010,0.184125744,0.188171801,1.021974425,2.65E-05,1279.355996,1.090763376
Channel,PSFL,2014,0.236733099,0.092574933,0.616381385,0.127124029,0.681936436,17.77117678
Channel,PSFL,2015,0.23015718,0.070469784,0.449270296,0.131325109,0.472559456,18.752305
Channel,PSFL,2013,0,0,0,0,0,0
Channel,PSFL,2018,0.184125744,0.122401032,0.664768704,0.037742238,0.898386918,4.917039847
Channel,PSFL,2011,0.046031436,0.04704295,1.021974425,0.006441617,0.32893807,7.632226458
Channel,PSFL,2019,0.138094308,0.101148327,0.732458339,0.030761508,0.619931823,8.30488404
Channel,PSFL,2020,0.368251488,0.21612056,0.58688306,0.092812169,1.461113984,5.256682869
South Side,PSFL,2012,1.15638699,0.375818882,0.324994042,0.617360204,2.166046437,116
South Side,PSFL,2016,1.888765417,0.747053072,0.395814564,0.871301368,4.099325735,38.65108553
South Side,PSFL,2010,1.383534435,0.593133331,0.430916825,0.596800018,3.240025744,26.69107414
South Side,PSFL,2013,1.233479456,0.579540529,0.489780826,0.469251749,3.34084628,11.25875579
South Side,PSFL,2014,0.838380568,0.405404462,0.708361675,0.354035519,3.141321862,32.61304797
South Side,PSFL,2015,1.734580485,0.664034432,0.411734995,0.831963057,3.723843613,66.82643259
South Side,PSFL,2018,1.300935364,0.558438872,0.435216524,0.557868741,3.074801727,24.66114171
South Side,PSFL,2011,1.817179556,0.955394185,0.525756622,0.63555056,5.195718087,15.4103913
South Side,PSFL,2019,2.973566546,1.056337319,0.355242536,1.499919401,5.895048757,95.51604401
South Side,PSFL,2020,3.138764687,1.185088685,0.377565317,1.513275311,6.510278527,62.81367526
Channel,SOSP,2012,1.281849557,0.403854747,0.314553512,0.696395253,2.362574238,123.4438717
Channel,SOSP,2016,0.878982553,0.404186263,0.482575354,0.349382664,2.33546457,15.23386205
Channel,SOSP,2010,1.428346649,0.492401849,0.343839405,0.716226612,2.874158708,68.42862838
Channel,SOSP,2013,0.659236915,0.25084051,0.38534138,0.309004811,1.416603657,22.3969238
Channel,SOSP,2014,1.0328045,0.349961391,0.336954556,0.532288608,2.004458953,47.16447719
Channel,SOSP,2015,0.711557305,0.277342493,0.451475882,0.328172696,1.582176586,17.79678872
Channel,SOSP,2011,1.977710745,0.659226595,0.333328115,1.034095075,3.782379287,64.13277237
Channel,SOSP,2018,1.046407802,0.320286,0.30692613,0.578652847,1.892411025,120.1629656
Channel,SOSP,2019,1.831213653,0.547485441,0.298974093,1.027757786,3.262776004,169.7774149
Channel,SOSP,2020,2.563699114,0.776020226,0.302695516,1.428215174,4.601934826,150.3984144
South Side,SOSP,2012,2.089739017,0.521503984,0.251313202,1.269962798,3.440062672,37.39074281
South Side,SOSP,2016,1.983660895,0.473439387,0.238795297,1.236100166,3.183765592,51.25873927
South Side,SOSP,2010,2.248856202,0.549700358,0.246089533,1.382153778,3.668975583,57.28405137
South Side,SOSP,2013,1.143522163,0.385428145,0.329306862,0.560720755,2.458633444,22.95530206
South Side,SOSP,2014,1.438419344,0.45893167,0.323216335,0.737574702,2.821910695,13.30612931
South Side,SOSP,2015,1.26232966,0.300034277,0.228646701,0.786794404,2.033942757,119.7014779
South Side,SOSP,2011,3.564224923,0.894493891,0.25096449,2.162042516,5.875786072,38.99773146
South Side,SOSP,2018,1.098969351,0.38994983,0.394619986,0.524697427,2.500420443,12.35660042
South Side,SOSP,2019,2.673168692,0.68481489,0.256180948,1.60209097,4.460315296,34.76758716
South Side,SOSP,2020,1.930621833,0.523384344,0.271096253,1.111725846,3.35271567,22.24524791
Channel ,SPTO,2012,0.778669572,0.13224014,0.16827525,0.539209257,1.132069877,11.93399097
Channel ,SPTO,2016,0.753876113,0.160713009,0.210189003,0.463176856,1.233329645,7.547022781
Channel ,SPTO,2010,0.748969074,0.145769005,0.223479518,0.501503426,1.200224433,13.6766432
Channel ,SPTO,2013,0.723142554,0.149055682,0.201241714,0.454966078,1.151986866,8.454966183
Channel ,SPTO,2014,0.658059724,0.157487033,0.253550463,0.372183083,1.209362307,6.00212659
Channel ,SPTO,2015,0.706613581,0.138710333,0.19577993,0.446437337,1.118506362,7.123905804
Channel ,SPTO,2011,1.247420906,0.32684835,0.262019298,0.692542253,2.246879391,8.475369426
Channel ,SPTO,2018,0.592976894,0.10948254,0.184446517,0.382572248,0.920016048,6.806642666
Channel ,SPTO,2019,0.759299682,0.188553919,0.248326088,0.43520164,1.324756052,8.671029324
Channel ,SPTO,2020,0.805787417,0.129919636,0.161233141,0.564919906,1.149354723,10.390797
South Side,SPTO,2012,1.206897163,0.39607023,0.327534541,0.612727374,2.427122639,15.34460289
South Side,SPTO,2016,1.422269384,0.400496123,0.281589499,0.797713403,2.535810723,18.95506116
South Side,SPTO,2010,1.41414213,0.382063495,0.269516219,0.817372667,2.450721436,23.58095342
South Side,SPTO,2013,1.031145303,0.352659081,0.354605483,0.486264123,2.218198095,9.161095621
South Side,SPTO,2014,0.9244751,0.31086373,0.326399998,0.470951913,1.993810067,69.80386884
South Side,SPTO,2015,0.792407228,0.217395492,0.2806919,0.459322199,1.416165057,72.03699311
South Side,SPTO,2011,1.828632065,0.623694053,0.341071375,0.895569439,3.733820165,13.52159108
South Side,SPTO,2018,0.934634167,0.314327021,0.341104836,0.428661288,2.038062793,8.673808672
South Side,SPTO,2019,1.706723261,0.428731362,0.251201453,1.034155602,2.816698264,37.50177593
South Side,SPTO,2020,0.731452826,0.417844425,0.571252731,0.213278834,2.508562279,7.748520191
Channel,WREN,2012,0.070050117,0.014315653,0.53693717,0.053248396,0.154088289,32.52550151
Channel,WREN,2016,0.096068732,0.024975736,0.25997778,0.049092966,0.187994372,4.675768592
Channel,WREN,2010,0,0,0,0,0,0
Channel,WREN,2013,0.068048685,0.049678993,0.809527065,0.010671561,0.928195205,3.064821696
Channel,WREN,2014,0.105789973,0.033081718,0.368374433,0.039225684,0.286264627,4.307996792
Channel,WREN,2015,0.120085915,0.00856613,0.071333344,0.10413629,0.138478401,60
Channel,WREN,2011,0.030021479,0.019770001,0.658528568,0.007310885,0.123280452,7.167091481
Channel,WREN,2018,0.144746415,0.02679999,0.186933442,0.09577304,0.219556766,9.063930173
Channel,WREN,2019,0.135096654,0.070380349,0.520962934,0.042774153,0.426685382,7.269743143
Channel,WREN,2020,0.137241046,0.076705359,0.558909754,0.038701336,0.486678403,6.200183325
South Side,WREN,2012,0.067965791,0.044282286,0.651537868,0.016059456,0.287640418,6.227428633
South Side,WREN,2016,0.190304214,0.040339194,0.2531245,0.123807553,0.351532773,21.69196121
South Side,WREN,2010,0.039646711,0.039801723,1.00390982,0.004682279,0.335704404,5.078616228
South Side,WREN,2013,0.237880268,0.106141101,0.446195483,0.00258865,21.85966852,1.083563092
South Side,WREN,2014,0.190304214,0.058521571,0.380516156,0.112867568,0.522552671,21.57106986
South Side,WREN,2015,0.033982895,0.034115762,1.00390982,0.004439637,0.260119708,6.094329881
South Side,WREN,2011,0.067965791,0.044282286,0.651537868,0.016059456,0.287640418,6.227428633
South Side,WREN,2018,0.190304214,0.040339194,0.2531245,0.123807553,0.351532773,21.69196121
South Side,WREN,2019,0.305846058,0.103641122,0.338866952,0.139950405,0.668392571,6.905193445
South Side,WREN,2020,0.237880268,0.07637143,0.321049874,0.113475138,0.4986733,7.020497885
Channel,YBCH,2012,0.186027888,0.033206752,0.17000607,0.129156374,0.272018237,112.5285633
Channel,YBCH,2016,0.28720095,0.064947477,0.226569393,0.175482512,0.470273691,11.07470118
Channel,YBCH,2010,0.282538596,0.051754632,0.183204947,0.192841896,0.413956006,17.92403361
Channel,YBCH,2013,0.290464597,0.053908016,0.185796423,0.196286771,0.430950201,18.05501894
Channel,YBCH,2014,0.261558008,0.052642274,0.201211979,0.170763607,0.400651496,14.54519627
Channel,YBCH,2015,0.274146361,0.055249946,0.202931248,0.178935164,0.420199629,14.36677716
Channel,YBCH,2011,0.489547073,0.107269131,0.219119136,0.307146039,0.780268363,13.47824859
Channel,YBCH,2018,0.134275769,0.059496205,0.439295713,0.046201814,0.394863251,5.805745946
Channel,YBCH,2019,0.313310127,0.069504867,0.221840473,0.195295378,0.50263983,13.22919562
Channel,YBCH,2020,0.358068716,0.091697926,0.256090303,0.203381484,0.630407464,9.495139931
South Side,YBCH,2012,0.205212031,0.014569975,0.070999615,0.178380006,0.236080145,148
South Side,YBCH,2016,0.319544448,0.049796638,0.158859892,0.222843684,0.462360002,8.846054323
South Side,YBCH,2010,0.32980505,0.084319086,0.260985133,0.121451103,5.133946221,4.728449202
South Side,YBCH,2013,0.235993836,0.075542196,0.355793794,0.110676061,0.553305049,5.101968239
South Side,YBCH,2014,0.246254437,0.066536031,0.320910528,0.132846685,0.527546975,5.042362564
South Side,YBCH,2015,0.390880059,0.07444337,0.185406705,0.253606963,0.607998299,8.001915795
South Side,YBCH,2011,0.234528035,0.084573601,0.360611904,0.101243339,0.543279193,6.493260517
South Side,YBCH,2018,0.324919049,0.088747075,0.276519701,0.159270616,0.704859207,4.807247784
South Side,YBCH,2019,0.52768808,0.130995638,0.248244451,0.296525561,0.939058031,7.114377199
South Side,YBCH,2020,0.557004084,0.158287733,0.28417697,0.287191525,1.080301898,6.824297325
Channel,YEWA,2012,1.048272358,0.1933198,0.183763672,0.694354154,1.617484415,9.071824245
Channel,YEWA,2016,0.900189274,0.142904845,0.158246116,0.626300595,1.295118491,8.044681978
Channel,YEWA,2010,1.118416977,0.154940664,0.135674815,0.827960482,1.52440577,13.00967206
Channel,YEWA,2013,1.4574493,0.289558537,0.195922481,0.925448451,2.295973962,7.82172984
Channel,YEWA,2014,1.418480068,0.165116337,0.11692318,1.10287422,1.824899808,12.48698937
Channel,YEWA,2015,0.935261583,0.180495357,0.197099705,0.597883575,1.466610248,7.256243984
Channel,YEWA,2018,0.443729662,0.196222934,0.448775882,0.14497268,1.360728012,4.655812849
Channel,YEWA,2011,2.182277027,0.312713016,0.143296663,1.588603456,2.997811068,10.03503414
Channel,YEWA,2019,1.145695439,0.315075611,0.275008174,0.611833364,2.145384864,7.672269764
Channel,YEWA,2020,1.434067761,0.461538423,0.321838643,0.673113274,3.055281217,6.412902646
South Side,YEWA,2012,1.512683771,0.325061644,0.238676795,0.923205512,2.548453669,7.263082595
South Side,YEWA,2016,1.821677103,0.309693995,0.172123603,1.248196065,2.666157124,9.921401317
South Side,YEWA,2010,1.660262676,0.273435124,0.165158446,1.158158801,2.38111119,10.97662785
South Side,YEWA,2013,1.56802586,0.272935553,0.203093065,1.089061846,2.34119451,14.61036913
South Side,YEWA,2014,1.975405128,0.369261827,0.190017484,1.293950153,3.017532608,8.507051814
South Side,YEWA,2015,1.660262676,0.315799479,0.190210551,1.094494904,2.554084844,10.87056973
South Side,YEWA,2018,1.429670638,0.306317358,0.239729416,0.894340335,2.347791976,8.805029678
South Side,YEWA,2011,2.674867644,0.487388583,0.182210355,1.784689334,4.009054561,9.652100106
South Side,YEWA,2019,3.689472612,0.435237052,0.117967281,2.894808948,4.702282051,24.12660656
South Side,YEWA,2020,2.121446752,0.353939917,0.166838935,1.471496136,3.058476479,10.72921193
